,label,text,cleaned_text
22,GERD,"stomach_pain,acidity,vomiting,cough,chest_pain","stomach pain , acidity , vomiting , cough , chest pain"
23,GERD,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain","stomach pain , acidity , ulcers tongue , cough , chest pain"
24,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain","stomach pain , acidity , ulcers tongue , vomiting , chest pain"
25,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough","stomach pain , acidity , ulcers tongue , vomiting , cough"
26,GERD,"acidity,ulcers_on_tongue,vomiting,cough,chest_pain","acidity , ulcers tongue , vomiting , cough , chest pain"
27,GERD,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain","stomach pain , ulcers tongue , vomiting , cough , chest pain"
28,GERD,"stomach_pain,acidity,vomiting,cough,chest_pain","stomach pain , acidity , vomiting , cough , chest pain"
29,GERD,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain","stomach pain , acidity , ulcers tongue , cough , chest pain"
30,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","itching , vomiting , yellowish skin , nausea , loss appetite , abdominal pain , yellowing eyes"
31,Chronic cholestasis,"vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","vomiting , yellowish skin , nausea , loss appetite , abdominal pain , yellowing eyes"
32,Chronic cholestasis,"itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","itching , yellowish skin , nausea , loss appetite , abdominal pain , yellowing eyes"
33,Chronic cholestasis,"itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","itching , vomiting , nausea , loss appetite , abdominal pain , yellowing eyes"
34,Chronic cholestasis,"itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes","itching , vomiting , yellowish skin , loss appetite , abdominal pain , yellowing eyes"
35,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes","itching , vomiting , yellowish skin , nausea , abdominal pain , yellowing eyes"
36,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes","itching , vomiting , yellowish skin , nausea , loss appetite , yellowing eyes"
37,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain","itching , vomiting , yellowish skin , nausea , loss appetite , abdominal pain"
38,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","itching , vomiting , yellowish skin , nausea , loss appetite , abdominal pain , yellowing eyes"
39,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","itching , vomiting , yellowish skin , nausea , loss appetite , abdominal pain , yellowing eyes"
40,Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination","itching , skin rash , stomach pain , burning micturition , spotting urination"
41,Drug Reaction,"itching,stomach_pain,burning_micturition,spotting_ urination","itching , stomach pain , burning micturition , spotting urination"
42,Drug Reaction,"itching,skin_rash,burning_micturition,spotting_ urination","itching , skin rash , burning micturition , spotting urination"
43,Drug Reaction,"itching,skin_rash,stomach_pain,spotting_ urination","itching , skin rash , stomach pain , spotting urination"
44,Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition","itching , skin rash , stomach pain , burning micturition"
45,Drug Reaction,"skin_rash,stomach_pain,burning_micturition,spotting_ urination","skin rash , stomach pain , burning micturition , spotting urination"
46,Drug Reaction,"itching,stomach_pain,burning_micturition,spotting_ urination","itching , stomach pain , burning micturition , spotting urination"
47,Drug Reaction,"itching,skin_rash,burning_micturition,spotting_ urination","itching , skin rash , burning micturition , spotting urination"
48,Drug Reaction,"itching,skin_rash,stomach_pain,spotting_ urination","itching , skin rash , stomach pain , spotting urination"
49,Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition","itching , skin rash , stomach pain , burning micturition"
50,Peptic ulcer diseae,"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","vomiting , loss appetite , abdominal pain , passage gases , internal itching"
51,Peptic ulcer diseae,"vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching","vomiting , indigestion , abdominal pain , passage gases , internal itching"
52,Peptic ulcer diseae,"indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","indigestion , loss appetite , abdominal pain , passage gases , internal itching"
53,Peptic ulcer diseae,"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","vomiting , loss appetite , abdominal pain , passage gases , internal itching"
54,Peptic ulcer diseae,"vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching","vomiting , indigestion , abdominal pain , passage gases , internal itching"
55,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching","vomiting , indigestion , loss appetite , passage gases , internal itching"
56,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching","vomiting , indigestion , loss appetite , abdominal pain , internal itching"
57,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases","vomiting , indigestion , loss appetite , abdominal pain , passage gases"
58,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","vomiting , indigestion , loss appetite , abdominal pain , passage gases , internal itching"
59,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","vomiting , indigestion , loss appetite , abdominal pain , passage gases , internal itching"
60,AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts","muscle wasting , patches throat , high fever , extra marital contacts"
61,AIDS,"patches_in_throat,high_fever,extra_marital_contacts","patches throat , high fever , extra marital contacts"
62,AIDS,"muscle_wasting,high_fever,extra_marital_contacts","muscle wasting , high fever , extra marital contacts"
63,AIDS,"muscle_wasting,patches_in_throat,extra_marital_contacts","muscle wasting , patches throat , extra marital contacts"
64,AIDS,"muscle_wasting,patches_in_throat,high_fever","muscle wasting , patches throat , high fever"
65,AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts","muscle wasting , patches throat , high fever , extra marital contacts"
66,AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts","muscle wasting , patches throat , high fever , extra marital contacts"
67,AIDS,"patches_in_throat,high_fever,extra_marital_contacts","patches throat , high fever , extra marital contacts"
68,AIDS,"muscle_wasting,high_fever,extra_marital_contacts","muscle wasting , high fever , extra marital contacts"
69,AIDS,"muscle_wasting,patches_in_throat,high_fever","muscle wasting , patches throat , high fever"
70,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","fatigue , weight loss , restlessness , lethargy , irregular sugar level , blurred distorted vision , obesity , excessive hunger , increased appetite , polyuria"
71,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","fatigue , weight loss , restlessness , lethargy , irregular sugar level , blurred distorted vision , obesity , excessive hunger , increased appetite , polyuria"
72,Diabetes ,"weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","weight loss , restlessness , lethargy , irregular sugar level , blurred distorted vision , obesity , excessive hunger , increased appetite , polyuria"
73,Diabetes ,"fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","fatigue , restlessness , lethargy , irregular sugar level , blurred distorted vision , obesity , excessive hunger , increased appetite , polyuria"
74,Diabetes ,"fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","fatigue , weight loss , lethargy , irregular sugar level , blurred distorted vision , obesity , excessive hunger , increased appetite , polyuria"
75,Diabetes ,"fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","fatigue , weight loss , restlessness , irregular sugar level , blurred distorted vision , obesity , excessive hunger , increased appetite , polyuria"
76,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","fatigue , weight loss , restlessness , lethargy , blurred distorted vision , obesity , excessive hunger , increased appetite , polyuria"
77,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria","fatigue , weight loss , restlessness , lethargy , irregular sugar level , obesity , excessive hunger , increased appetite , polyuria"
78,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria","fatigue , weight loss , restlessness , lethargy , irregular sugar level , blurred distorted vision , excessive hunger , increased appetite , polyuria"
79,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria","fatigue , weight loss , restlessness , lethargy , irregular sugar level , blurred distorted vision , obesity , increased appetite , polyuria"
80,Gastroenteritis,"vomiting,sunken_eyes,dehydration,diarrhoea","vomiting , sunken eyes , dehydration , diarrhoea"
81,Gastroenteritis,"vomiting,sunken_eyes,dehydration,diarrhoea","vomiting , sunken eyes , dehydration , diarrhoea"
82,Gastroenteritis,"sunken_eyes,dehydration,diarrhoea","sunken eyes , dehydration , diarrhoea"
83,Gastroenteritis,"vomiting,dehydration,diarrhoea","vomiting , dehydration , diarrhoea"
84,Gastroenteritis,"vomiting,sunken_eyes,diarrhoea","vomiting , sunken eyes , diarrhoea"
85,Gastroenteritis,"vomiting,sunken_eyes,dehydration","vomiting , sunken eyes , dehydration"
86,Gastroenteritis,"vomiting,sunken_eyes,dehydration,diarrhoea","vomiting , sunken eyes , dehydration , diarrhoea"
87,Gastroenteritis,"sunken_eyes,dehydration,diarrhoea","sunken eyes , dehydration , diarrhoea"
88,Gastroenteritis,"vomiting,dehydration,diarrhoea","vomiting , dehydration , diarrhoea"
89,Gastroenteritis,"vomiting,sunken_eyes,diarrhoea","vomiting , sunken eyes , diarrhoea"
90,Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum","fatigue , cough , high fever , breathlessness , family history , mucoid sputum"
91,Bronchial Asthma,"cough,high_fever,breathlessness,family_history,mucoid_sputum","cough , high fever , breathlessness , family history , mucoid sputum"
92,Bronchial Asthma,"fatigue,high_fever,breathlessness,family_history,mucoid_sputum","fatigue , high fever , breathlessness , family history , mucoid sputum"
93,Bronchial Asthma,"fatigue,cough,breathlessness,family_history,mucoid_sputum","fatigue , cough , breathlessness , family history , mucoid sputum"
94,Bronchial Asthma,"fatigue,cough,high_fever,family_history,mucoid_sputum","fatigue , cough , high fever , family history , mucoid sputum"
95,Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,mucoid_sputum","fatigue , cough , high fever , breathlessness , mucoid sputum"
96,Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history","fatigue , cough , high fever , breathlessness , family history"
97,Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum","fatigue , cough , high fever , breathlessness , family history , mucoid sputum"
98,Bronchial Asthma,"cough,high_fever,breathlessness,family_history,mucoid_sputum","cough , high fever , breathlessness , family history , mucoid sputum"
99,Bronchial Asthma,"fatigue,high_fever,breathlessness,family_history,mucoid_sputum","fatigue , high fever , breathlessness , family history , mucoid sputum"
100,Hypertension ,"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration","headache , chest pain , dizziness , loss balance , lack concentration"
101,Hypertension ,"chest_pain,dizziness,loss_of_balance,lack_of_concentration","chest pain , dizziness , loss balance , lack concentration"
102,Hypertension ,"headache,dizziness,loss_of_balance,lack_of_concentration","headache , dizziness , loss balance , lack concentration"
103,Hypertension ,"headache,chest_pain,loss_of_balance,lack_of_concentration","headache , chest pain , loss balance , lack concentration"
104,Hypertension ,"headache,chest_pain,dizziness,lack_of_concentration","headache , chest pain , dizziness , lack concentration"
105,Hypertension ,"headache,chest_pain,dizziness,loss_of_balance","headache , chest pain , dizziness , loss balance"
106,Hypertension ,"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration","headache , chest pain , dizziness , loss balance , lack concentration"
107,Hypertension ,"chest_pain,dizziness,loss_of_balance,lack_of_concentration","chest pain , dizziness , loss balance , lack concentration"
108,Hypertension ,"headache,dizziness,loss_of_balance,lack_of_concentration","headache , dizziness , loss balance , lack concentration"
109,Hypertension ,"headache,chest_pain,loss_of_balance,lack_of_concentration","headache , chest pain , loss balance , lack concentration"
110,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances","acidity , indigestion , headache , blurred distorted vision , excessive hunger , stiff neck , depression , irritability , visual disturbances"
111,Migraine,"indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances","indigestion , headache , blurred distorted vision , excessive hunger , stiff neck , depression , irritability , visual disturbances"
112,Migraine,"acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances","acidity , headache , blurred distorted vision , excessive hunger , stiff neck , depression , irritability , visual disturbances"
113,Migraine,"acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances","acidity , indigestion , blurred distorted vision , excessive hunger , stiff neck , depression , irritability , visual disturbances"
114,Migraine,"acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances","acidity , indigestion , headache , excessive hunger , stiff neck , depression , irritability , visual disturbances"
115,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances","acidity , indigestion , headache , blurred distorted vision , stiff neck , depression , irritability , visual disturbances"
116,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances","acidity , indigestion , headache , blurred distorted vision , excessive hunger , depression , irritability , visual disturbances"
117,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances","acidity , indigestion , headache , blurred distorted vision , excessive hunger , stiff neck , irritability , visual disturbances"
118,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances","acidity , indigestion , headache , blurred distorted vision , excessive hunger , stiff neck , depression , visual disturbances"
119,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability","acidity , indigestion , headache , blurred distorted vision , excessive hunger , stiff neck , depression , irritability"
120,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance","back pain , weakness limbs , neck pain , dizziness , loss balance"
121,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance","back pain , weakness limbs , neck pain , dizziness , loss balance"
122,Cervical spondylosis,"weakness_in_limbs,neck_pain,dizziness,loss_of_balance","weakness limbs , neck pain , dizziness , loss balance"
123,Cervical spondylosis,"back_pain,neck_pain,dizziness,loss_of_balance","back pain , neck pain , dizziness , loss balance"
124,Cervical spondylosis,"back_pain,weakness_in_limbs,dizziness,loss_of_balance","back pain , weakness limbs , dizziness , loss balance"
125,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,loss_of_balance","back pain , weakness limbs , neck pain , loss balance"
126,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness","back pain , weakness limbs , neck pain , dizziness"
127,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance","back pain , weakness limbs , neck pain , dizziness , loss balance"
128,Cervical spondylosis,"weakness_in_limbs,neck_pain,dizziness,loss_of_balance","weakness limbs , neck pain , dizziness , loss balance"
129,Cervical spondylosis,"back_pain,neck_pain,dizziness,loss_of_balance","back pain , neck pain , dizziness , loss balance"
130,Paralysis (brain hemorrhage),"vomiting,headache,weakness_of_one_body_side,altered_sensorium","vomiting , headache , weakness one body side , altered sensorium"
131,Paralysis (brain hemorrhage),"vomiting,headache,weakness_of_one_body_side,altered_sensorium","vomiting , headache , weakness one body side , altered sensorium"
132,Paralysis (brain hemorrhage),"headache,weakness_of_one_body_side,altered_sensorium","headache , weakness one body side , altered sensorium"
133,Paralysis (brain hemorrhage),"vomiting,weakness_of_one_body_side,altered_sensorium","vomiting , weakness one body side , altered sensorium"
134,Paralysis (brain hemorrhage),"vomiting,headache,altered_sensorium","vomiting , headache , altered sensorium"
135,Paralysis (brain hemorrhage),"vomiting,headache,weakness_of_one_body_side","vomiting , headache , weakness one body side"
136,Paralysis (brain hemorrhage),"vomiting,headache,weakness_of_one_body_side,altered_sensorium","vomiting , headache , weakness one body side , altered sensorium"
137,Paralysis (brain hemorrhage),"headache,weakness_of_one_body_side,altered_sensorium","headache , weakness one body side , altered sensorium"
138,Paralysis (brain hemorrhage),"vomiting,weakness_of_one_body_side,altered_sensorium","vomiting , weakness one body side , altered sensorium"
139,Paralysis (brain hemorrhage),"vomiting,headache,altered_sensorium","vomiting , headache , altered sensorium"
140,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain","itching , vomiting , fatigue , weight loss , high fever , yellowish skin , dark urine , abdominal pain"
141,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain","itching , vomiting , fatigue , weight loss , high fever , yellowish skin , dark urine , abdominal pain"
142,Jaundice,"vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain","vomiting , fatigue , weight loss , high fever , yellowish skin , dark urine , abdominal pain"
143,Jaundice,"itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain","itching , fatigue , weight loss , high fever , yellowish skin , dark urine , abdominal pain"
144,Jaundice,"itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain","itching , vomiting , weight loss , high fever , yellowish skin , dark urine , abdominal pain"
145,Jaundice,"itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain","itching , vomiting , fatigue , high fever , yellowish skin , dark urine , abdominal pain"
146,Jaundice,"itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain","itching , vomiting , fatigue , weight loss , yellowish skin , dark urine , abdominal pain"
147,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain","itching , vomiting , fatigue , weight loss , high fever , dark urine , abdominal pain"
148,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain","itching , vomiting , fatigue , weight loss , high fever , yellowish skin , abdominal pain"
149,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine","itching , vomiting , fatigue , weight loss , high fever , yellowish skin , dark urine"
150,Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain","chills , vomiting , high fever , sweating , headache , nausea , muscle pain"
151,Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain","chills , vomiting , high fever , sweating , headache , nausea , diarrhoea , muscle pain"
152,Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain","chills , vomiting , high fever , sweating , headache , nausea , diarrhoea , muscle pain"
153,Malaria,"vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain","vomiting , high fever , sweating , headache , nausea , diarrhoea , muscle pain"
154,Malaria,"chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain","chills , high fever , sweating , headache , nausea , diarrhoea , muscle pain"
155,Malaria,"chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain","chills , vomiting , sweating , headache , nausea , diarrhoea , muscle pain"
156,Malaria,"chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain","chills , vomiting , high fever , headache , nausea , diarrhoea , muscle pain"
157,Malaria,"chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain","chills , vomiting , high fever , sweating , nausea , diarrhoea , muscle pain"
158,Malaria,"chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain","chills , vomiting , high fever , sweating , headache , diarrhoea , muscle pain"
159,Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain","chills , vomiting , high fever , sweating , headache , nausea , muscle pain"
160,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","itching , skin rash , fatigue , lethargy , high fever , headache , loss appetite , mild fever , swelled lymph nodes , malaise , red spots body"
161,Chicken pox,"skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","skin rash , fatigue , lethargy , high fever , headache , loss appetite , mild fever , swelled lymph nodes , malaise , red spots body"
162,Chicken pox,"itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","itching , fatigue , lethargy , high fever , headache , loss appetite , mild fever , swelled lymph nodes , malaise , red spots body"
163,Chicken pox,"itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","itching , skin rash , lethargy , high fever , headache , loss appetite , mild fever , swelled lymph nodes , malaise , red spots body"
164,Chicken pox,"itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","itching , skin rash , fatigue , high fever , headache , loss appetite , mild fever , swelled lymph nodes , malaise , red spots body"
165,Chicken pox,"itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","itching , skin rash , fatigue , lethargy , headache , loss appetite , mild fever , swelled lymph nodes , malaise , red spots body"
166,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","itching , skin rash , fatigue , lethargy , high fever , loss appetite , mild fever , swelled lymph nodes , malaise , red spots body"
167,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","itching , skin rash , fatigue , lethargy , high fever , headache , mild fever , swelled lymph nodes , malaise , red spots body"
168,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body","itching , skin rash , fatigue , lethargy , high fever , headache , loss appetite , swelled lymph nodes , malaise , red spots body"
169,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body","itching , skin rash , fatigue , lethargy , high fever , headache , loss appetite , mild fever , malaise , red spots body"
170,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body","skin rash , chills , joint pain , vomiting , fatigue , high fever , headache , nausea , loss appetite , pain behind eyes , back pain , muscle pain , red spots body"
171,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body","skin rash , chills , joint pain , vomiting , fatigue , high fever , headache , nausea , loss appetite , pain behind eyes , back pain , malaise , red spots body"
172,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain","skin rash , chills , joint pain , vomiting , fatigue , high fever , headache , nausea , loss appetite , pain behind eyes , back pain , malaise , muscle pain"
173,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","skin rash , chills , joint pain , vomiting , fatigue , high fever , headache , nausea , loss appetite , pain behind eyes , back pain , malaise , muscle pain , red spots body"
174,Dengue,"chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","chills , joint pain , vomiting , fatigue , high fever , headache , nausea , loss appetite , pain behind eyes , back pain , malaise , muscle pain , red spots body"
175,Dengue,"skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","skin rash , joint pain , vomiting , fatigue , high fever , headache , nausea , loss appetite , pain behind eyes , back pain , malaise , muscle pain , red spots body"
176,Dengue,"skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","skin rash , chills , vomiting , fatigue , high fever , headache , nausea , loss appetite , pain behind eyes , back pain , malaise , muscle pain , red spots body"
177,Dengue,"skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","skin rash , chills , joint pain , fatigue , high fever , headache , nausea , loss appetite , pain behind eyes , back pain , malaise , muscle pain , red spots body"
