,prognosis,symptoms_text
30,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
31,Chronic cholestasis,"vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
32,Chronic cholestasis,"itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
33,Chronic cholestasis,"itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
34,Chronic cholestasis,"itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
35,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes"
36,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes"
37,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain"
38,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
39,Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
40,Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination"
41,Drug Reaction,"itching,stomach_pain,burning_micturition,spotting_ urination"
42,Drug Reaction,"itching,skin_rash,burning_micturition,spotting_ urination"
43,Drug Reaction,"itching,skin_rash,stomach_pain,spotting_ urination"
44,Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition"
45,Drug Reaction,"skin_rash,stomach_pain,burning_micturition,spotting_ urination"
46,Drug Reaction,"itching,stomach_pain,burning_micturition,spotting_ urination"
47,Drug Reaction,"itching,skin_rash,burning_micturition,spotting_ urination"
48,Drug Reaction,"itching,skin_rash,stomach_pain,spotting_ urination"
49,Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition"
50,Peptic ulcer diseae,"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
51,Peptic ulcer diseae,"vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching"
52,Peptic ulcer diseae,"indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
53,Peptic ulcer diseae,"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
54,Peptic ulcer diseae,"vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching"
55,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching"
56,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching"
57,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases"
58,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
59,Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
60,AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts"
61,AIDS,"patches_in_throat,high_fever,extra_marital_contacts"
62,AIDS,"muscle_wasting,high_fever,extra_marital_contacts"
63,AIDS,"muscle_wasting,patches_in_throat,extra_marital_contacts"
64,AIDS,"muscle_wasting,patches_in_throat,high_fever"
65,AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts"
66,AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts"
67,AIDS,"patches_in_throat,high_fever,extra_marital_contacts"
68,AIDS,"muscle_wasting,high_fever,extra_marital_contacts"
69,AIDS,"muscle_wasting,patches_in_throat,high_fever"
70,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
71,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
72,Diabetes ,"weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
73,Diabetes ,"fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
74,Diabetes ,"fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
75,Diabetes ,"fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
76,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
77,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria"
78,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria"
79,Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria"
80,Gastroenteritis,"vomiting,sunken_eyes,dehydration,diarrhoea"
81,Gastroenteritis,"vomiting,sunken_eyes,dehydration,diarrhoea"
82,Gastroenteritis,"sunken_eyes,dehydration,diarrhoea"
83,Gastroenteritis,"vomiting,dehydration,diarrhoea"
84,Gastroenteritis,"vomiting,sunken_eyes,diarrhoea"
85,Gastroenteritis,"vomiting,sunken_eyes,dehydration"
86,Gastroenteritis,"vomiting,sunken_eyes,dehydration,diarrhoea"
87,Gastroenteritis,"sunken_eyes,dehydration,diarrhoea"
88,Gastroenteritis,"vomiting,dehydration,diarrhoea"
89,Gastroenteritis,"vomiting,sunken_eyes,diarrhoea"
90,Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
91,Bronchial Asthma,"cough,high_fever,breathlessness,family_history,mucoid_sputum"
92,Bronchial Asthma,"fatigue,high_fever,breathlessness,family_history,mucoid_sputum"
93,Bronchial Asthma,"fatigue,cough,breathlessness,family_history,mucoid_sputum"
94,Bronchial Asthma,"fatigue,cough,high_fever,family_history,mucoid_sputum"
95,Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,mucoid_sputum"
96,Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history"
97,Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
98,Bronchial Asthma,"cough,high_fever,breathlessness,family_history,mucoid_sputum"
99,Bronchial Asthma,"fatigue,high_fever,breathlessness,family_history,mucoid_sputum"
100,Hypertension ,"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration"
101,Hypertension ,"chest_pain,dizziness,loss_of_balance,lack_of_concentration"
102,Hypertension ,"headache,dizziness,loss_of_balance,lack_of_concentration"
103,Hypertension ,"headache,chest_pain,loss_of_balance,lack_of_concentration"
104,Hypertension ,"headache,chest_pain,dizziness,lack_of_concentration"
105,Hypertension ,"headache,chest_pain,dizziness,loss_of_balance"
106,Hypertension ,"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration"
107,Hypertension ,"chest_pain,dizziness,loss_of_balance,lack_of_concentration"
108,Hypertension ,"headache,dizziness,loss_of_balance,lack_of_concentration"
109,Hypertension ,"headache,chest_pain,loss_of_balance,lack_of_concentration"
110,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
111,Migraine,"indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
112,Migraine,"acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
113,Migraine,"acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
114,Migraine,"acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
115,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances"
116,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances"
117,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances"
118,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances"
119,Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability"
120,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
121,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
122,Cervical spondylosis,"weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
123,Cervical spondylosis,"back_pain,neck_pain,dizziness,loss_of_balance"
124,Cervical spondylosis,"back_pain,weakness_in_limbs,dizziness,loss_of_balance"
125,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,loss_of_balance"
126,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness"
127,Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
128,Cervical spondylosis,"weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
129,Cervical spondylosis,"back_pain,neck_pain,dizziness,loss_of_balance"
130,Paralysis (brain hemorrhage),"vomiting,headache,weakness_of_one_body_side,altered_sensorium"
131,Paralysis (brain hemorrhage),"vomiting,headache,weakness_of_one_body_side,altered_sensorium"
132,Paralysis (brain hemorrhage),"headache,weakness_of_one_body_side,altered_sensorium"
133,Paralysis (brain hemorrhage),"vomiting,weakness_of_one_body_side,altered_sensorium"
134,Paralysis (brain hemorrhage),"vomiting,headache,altered_sensorium"
135,Paralysis (brain hemorrhage),"vomiting,headache,weakness_of_one_body_side"
136,Paralysis (brain hemorrhage),"vomiting,headache,weakness_of_one_body_side,altered_sensorium"
137,Paralysis (brain hemorrhage),"headache,weakness_of_one_body_side,altered_sensorium"
138,Paralysis (brain hemorrhage),"vomiting,weakness_of_one_body_side,altered_sensorium"
139,Paralysis (brain hemorrhage),"vomiting,headache,altered_sensorium"
140,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
141,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
142,Jaundice,"vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
143,Jaundice,"itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
144,Jaundice,"itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
145,Jaundice,"itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain"
146,Jaundice,"itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain"
147,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain"
148,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain"
149,Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine"
150,Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain"
151,Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
152,Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
153,Malaria,"vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
154,Malaria,"chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
155,Malaria,"chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain"
156,Malaria,"chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain"
157,Malaria,"chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain"
158,Malaria,"chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain"
159,Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain"
160,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
161,Chicken pox,"skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
162,Chicken pox,"itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
163,Chicken pox,"itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
164,Chicken pox,"itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
165,Chicken pox,"itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
166,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
167,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
168,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body"
169,Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body"
170,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body"
171,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body"
172,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain"
173,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
174,Dengue,"chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
175,Dengue,"skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
176,Dengue,"skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
177,Dengue,"skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
178,Dengue,"skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
179,Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
180,Typhoid,"chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
181,Typhoid,"chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
182,Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
183,Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain"
184,Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain"
185,Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain"
186,Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos)"
187,Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
188,Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
189,Typhoid,"chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
190,hepatitis A,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
191,hepatitis A,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
192,hepatitis A,"vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
193,hepatitis A,"joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
194,hepatitis A,"joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
195,hepatitis A,"joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
196,hepatitis A,"joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
197,hepatitis A,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
198,hepatitis A,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
199,hepatitis A,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,yellowing_of_eyes,muscle_pain"
200,Hepatitis B,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
201,Hepatitis B,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
202,Hepatitis B,"fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
203,Hepatitis B,"itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
204,Hepatitis B,"itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
205,Hepatitis B,"itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
206,Hepatitis B,"itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
207,Hepatitis B,"itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
208,Hepatitis B,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
209,Hepatitis B,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
210,Hepatitis C,"fatigue,yellowish_skin,nausea,loss_of_appetite,family_history"
211,Hepatitis C,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
212,Hepatitis C,"yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
213,Hepatitis C,"fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
214,Hepatitis C,"fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history"
215,Hepatitis C,"fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history"
216,Hepatitis C,"fatigue,yellowish_skin,nausea,loss_of_appetite,family_history"
217,Hepatitis C,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes"
218,Hepatitis C,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
219,Hepatitis C,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
220,Hepatitis D,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
221,Hepatitis D,"vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
222,Hepatitis D,"joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
223,Hepatitis D,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
224,Hepatitis D,"joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
225,Hepatitis D,"joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
226,Hepatitis D,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
227,Hepatitis D,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,abdominal_pain,yellowing_of_eyes"
228,Hepatitis D,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,yellowing_of_eyes"
229,Hepatitis D,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain"
230,Hepatitis E,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,coma,stomach_bleeding"
231,Hepatitis E,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
232,Hepatitis E,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
233,Hepatitis E,"vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
234,Hepatitis E,"joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
235,Hepatitis E,"joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
236,Hepatitis E,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
237,Hepatitis E,"joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
238,Hepatitis E,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
239,Hepatitis E,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
240,Alcoholic hepatitis,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload.1"
241,Alcoholic hepatitis,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload.1"
242,Alcoholic hepatitis,"yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload.1"
243,Alcoholic hepatitis,"vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload.1"
244,Alcoholic hepatitis,"vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload.1"
245,Alcoholic hepatitis,"vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload.1"
246,Alcoholic hepatitis,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload.1"
247,Alcoholic hepatitis,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload.1"
248,Alcoholic hepatitis,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption"
249,Alcoholic hepatitis,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload.1"
